hectad,east,north,longitude,latitude
B60,160000,4e+05,-8.62341003270796,54.8461748528257
B61,160000,410000,-8.62479782234112,54.9359962250608
B70,170000,4e+05,-8.46775189754201,54.8468737145699
B71,170000,410000,-8.46879300216566,54.9366974063554
B72,170000,420000,-8.46983991067205,55.0265197491448
B73,170000,430000,-8.47089266719035,55.1163407444085
B80,180000,4e+05,-8.3120880022512,54.8473730539172
B81,180000,410000,-8.31278237818816,54.9371984033188
B82,180000,420000,-8.31348062568767,55.0270224111087
B83,180000,430000,-8.31418277418757,55.1168450788154
B84,180000,440000,-8.31488885343055,55.2066664079798
B90,190000,4e+05,-8.15642026459,54.8476728574074
B91,190000,410000,-8.15676788270395,54.9374992023966
B92,190000,420000,-8.15711743975931,55.0273242102089
B93,190000,430000,-8.15746895049882,55.1171478824075
B94,190000,440000,-8.15782242981781,55.2069702205684
C00,2e+05,4e+05,-8.00075060260998,54.8477731169564
C01,2e+05,410000,-8.00075144830921,54.9375997954485
C02,2e+05,420000,-8.00075230017805,55.0274251382479
C03,2e+05,430000,-8.0007531582621,55.1172491469295
C04,2e+05,440000,-8.00075402260745,55.2070718230813
C10,210000,4e+05,-7.8450809345115,54.847673829857
C11,210000,410000,-7.84473500775086,54.9375001797482
C12,210000,420000,-7.84438715438755,55.0273251924804
C13,210000,430000,-7.84403735977005,55.1171488696171
C14,210000,440000,-7.84368560909518,55.2069712127345
C20,220000,4e+05,-7.68941317849538,54.847374998779
C21,220000,410000,-7.68872049377629,54.9372003579842
C22,220000,420000,-7.68802394983197,55.0270243756138
C23,220000,430000,-7.68732351731578,55.1168470531965
C24,220000,440000,-7.68661916657719,55.2066683922736
C30,230000,4e+05,-7.53374925261459,54.8468766317693
C31,230000,410000,-7.53270983898309,54.9367003382595
C32,230000,420000,-7.53166463380382,55.0265226958077
C33,230000,430000,-7.53061359303876,55.1163437058847
C34,230000,440000,-7.52955667219403,55.2061633699734
C35,230000,450000,-7.52849382631393,55.2959816895684
C40,240000,4e+05,-7.37809107462593,54.8461787422506
C41,240000,410000,-7.37670497566895,54.9360001340907
C42,240000,420000,-7.37531115329173,55.0258201666734
C43,240000,430000,-7.37390954877074,55.1156388413887
C44,240000,440000,-7.37250010277455,55.2054561596374
C45,240000,450000,-7.37108275535602,55.2952721228316
C50,250000,4e+05,-7.22244056184184,54.8452813490205
C51,250000,410000,-7.22070783568146,54.9350997644067
C52,250000,420000,-7.21896545482852,55.0249168072725
C53,250000,430000,-7.21721334588169,55.1147324789037
C54,250000,440000,-7.21545143467987,55.2045467805961
C55,250000,450000,-7.2136796462924,55.2943597136553
C60,260000,4e+05,-7.06679963098222,54.8441844762499
C61,260000,410000,-7.06472035026806,54.9339992535471
C62,260000,420000,-7.06262948433912,55.0238126421149
C63,260000,430000,-7.06052694512591,55.1136246431119
C64,260000,440000,-7.05841264364745,55.2034352577053
C70,270000,4e+05,-6.9111701980264,54.8428881534802
C71,270000,410000,-6.90874444992615,54.9326986312596
C72,270000,420000,-6.90630518698876,55.0225077011567
C73,270000,430000,-6.90385230648817,55.1123153641797
C80,280000,4e+05,-6.75555417806528,54.841392415621
C81,280000,410000,-6.75278206425324,54.9311979326976
C82,280000,420000,-6.74999450703123,55.0210020197973
C83,280000,430000,-6.74719138903008,55.1108046777549
C84,280000,440000,-6.74437259166627,55.2006059074106
C90,290000,4e+05,-6.59995348515356,54.8396973029466
C91,290000,410000,-6.59683512179743,54.9294971984164
C92,290000,420000,-6.59369938765738,55.019295638876
C93,290000,430000,-6.59054615073656,55.1090926249635
C94,290000,440000,-6.5873752776727,55.1988881573208
D00,3e+05,4e+05,-6.44437003216228,54.8378028610922
D01,3e+05,410000,-6.44090554990793,54.9275964743699
D02,3e+05,420000,-6.43742177084378,55.017388604668
D03,3e+05,430000,-6.43391854836264,55.1071792524055
D04,3e+05,440000,-6.43039573434107,55.1969684180026
D05,3e+05,450000,-6.4268531791198,55.2867561018802
D10,310000,4e+05,-6.28880573063151,54.8357091410497
D11,310000,410000,-6.28499527458593,54.9254958119056
D12,310000,420000,-6.28116359720164,55.0152809688805
D13,310000,430000,-6.27731053728037,55.1050646121508
D14,310000,440000,-6.27343593195703,55.194846741892
D15,310000,450000,-6.26953961667826,55.2846273582777
D20,320000,4e+05,-6.13326249062334,54.8334161991628
D21,320000,410000,-6.12910622033567,54.9231952677605
D22,320000,420000,-6.12492680582601,55.012972788647
D23,320000,430000,-6.1207240713261,55.1027487617338
D24,320000,440000,-6.1164978392507,55.1925231869281
D30,330000,4e+05,-5.97774222057512,54.8309240971218
D31,330000,410000,-5.97324031001588,54.920694904055
D32,330000,420000,-5.96871333414524,55.0104641265226
D40,340000,4e+05,-5.82224682715306,54.8282329019578
F50,50000,3e+05,-10.2843222341538,53.9277143123615
F51,50000,310000,-10.2892389791523,54.0174831627064
F52,50000,320000,-10.2941825622181,54.1072503556149
F60,60000,3e+05,-10.132203926189,53.9305119299944
F61,60000,310000,-10.1367938280344,54.0202899558185
F62,60000,320000,-10.1414087880549,54.1100663636544
F63,60000,330000,-10.1460489914162,54.1998411528976
F64,60000,340000,-10.1507146251503,54.2896143229366
F70,70000,3e+05,-9.98006074367916,53.9331169562228
F71,70000,310000,-9.98432361905297,54.022903527043
F72,70000,320000,-9.98860977086624,54.1126885166231
F73,70000,330000,-9.99291937115823,54.2024719246402
F74,70000,340000,-9.99725259370281,54.2922537507669
F80,80000,3e+05,-9.82789445534228,53.9355293234345
F81,80000,310000,-9.83183013392188,54.0253238083085
F82,80000,320000,-9.83578730549223,54.1151167459868
F83,80000,330000,-9.83976612894473,54.2049081364069
F84,80000,340000,-9.84376676477319,54.2946979795048
F90,90000,3e+05,-9.6757068315884,53.9377489689999
F91,90000,310000,-9.67931515606828,54.0275507365605
F92,90000,320000,-9.68294318850762,54.1173509882614
F93,90000,330000,-9.68659107463011,54.2071497242804
F94,90000,340000,-9.69025896162947,54.2969469447957
G00,1e+05,3e+05,-9.52349964439054,53.9397758352779
G01,1e+05,310000,-9.52678047050178,54.0295842537663
G02,1e+05,320000,-9.53007921808941,54.1193911850192
G03,1e+05,330000,-9.53339601969128,54.209196629434
G04,1e+05,340000,-9.53673100918249,54.2990005874104
G10,110000,3e+05,-9.37127466715553,53.9416098696207
G11,110000,310000,-9.37422786368373,54.0314243069203
G12,110000,320000,-9.37719719388457,54.1212372828939
G13,110000,330000,-9.38018277709349,54.2110487981371
